date,expenditure_billions,saving_rate_pct,credit_owned_billions,cpi_index,credit_to_spend_ratio,spend_yoy_growth,credit_yoy_growth,inflation_yoy,regime
2008-01-01,11333.2,2.6,2619427.65,212.174,231.12868827868562,1.3612378141490078,6.569798424910611,4.294695655165981,1_pre_covid
2008-02-01,11293.9,3.0,2634496.42,212.687,233.2671991074828,1.0350503658907328,6.657618482463712,4.142959270611968,1_pre_covid
2008-03-01,11322.1,2.9,2645603.64,213.448,233.6672207452681,1.1741892821717892,6.487212507764051,3.9749035501344343,1_pre_covid
2008-04-01,11340.5,2.4,2654243.23,213.942,234.04992989727083,1.240905235905898,6.436682191110066,3.9037609759888126,1_pre_covid
2008-05-01,11361.6,6.8,2660193.15,215.208,234.1389549007182,1.280085576751655,5.983112713629413,4.088413823123993,1_pre_covid
2008-06-01,11340.7,4.6,2662409.52,217.463,234.7658892308235,1.0892721843383857,5.688034744055015,4.935966105947864,1_pre_covid
2008-07-01,11286.0,3.6,2665321.26,219.016,236.16172780435937,0.29682029042177316,5.196166472771857,5.497512078341837,1_pre_covid
2008-08-01,11284.7,3.1,2662237.78,218.69,235.91568938474214,-0.13628197980548595,4.288315658976272,5.308017162091239,1_pre_covid
2008-09-01,11209.7,3.9,2657389.13,218.877,237.06157435078546,-0.8833203649996402,3.521384238107861,4.953319875136075,1_pre_covid
2008-10-01,11192.5,4.9,2660729.5,216.995,237.72432432432433,-1.1140953828212008,3.036156902310294,3.7310578899565128,1_pre_covid
2008-11-01,11158.2,6.0,2651481.39,213.153,237.62626498897671,-1.6222602317010781,2.072338633240456,1.0999174706166848,1_pre_covid
2008-12-01,11125.8,5.8,2643788.96,211.398,237.62686368620686,-1.846476872722791,1.3149162142493065,-0.02222800255385904,1_pre_covid
2009-01-01,11176.3,5.9,2647028.86,211.933,236.8430392884944,-1.3844280520947438,1.0537114854078933,-0.11358601902212717,1_pre_covid
2009-02-01,11130.5,5.4,2638532.74,212.705,237.0542868694129,-1.446798714350217,0.1532103049887823,0.008463140671510772,1_pre_covid
2009-03-01,11084.6,5.8,2622827.85,212.495,236.61907962398283,-2.097667393858027,-0.8608919966560102,-0.4464787676623838,1_pre_covid
2009-04-01,11068.0,6.5,2615973.01,212.709,236.35462685218647,-2.4028922886997983,-1.4418505270144433,-0.5763244243767063,1_pre_covid
2009-05-01,11078.1,7.8,2610010.78,213.022,235.60094059450626,-2.4952471482889704,-1.886418285078284,-1.015761495855172,1_pre_covid
2009-06-01,11081.1,6.1,2591475.41,214.79,233.86445479239427,-2.2891003200860682,-2.6642824654563246,-1.2291746182109153,1_pre_covid
2009-07-01,11118.1,5.4,2590854.98,214.726,233.03037209595163,-1.4876838561049044,-2.793895096908494,-1.9587610037622771,1_pre_covid
2009-08-01,11218.0,4.4,2582126.01,215.445,230.17703779639862,-0.591065779329536,-3.0091891341125776,-1.4838355663267633,1_pre_covid
2009-09-01,11114.6,5.5,2576594.39,215.861,231.82070339913267,-0.8483723917678487,-3.040380465468362,-1.377942862886472,1_pre_covid
2009-10-01,11127.1,5.1,2563422.73,216.509,230.37653386776427,-0.584319857047122,-3.657146282626622,-0.22396829420033848,1_pre_covid
2009-11-01,11109.4,5.5,2551569.29,217.234,229.6766062973698,-0.4373465254252529,-3.76816146539124,1.9145871744709275,1_pre_covid
2009-12-01,11177.3,5.4,2555016.64,217.347,228.58978823150494,0.46288806198206967,-3.35776876835131,2.8141231232083674,1_pre_covid
2010-01-01,11156.8,5.6,2543508.02,217.488,227.97827513265455,-0.17447634727056904,-3.910831557763972,2.6211113889767157,1_pre_covid
2010-02-01,11198.6,5.3,2530024.28,217.281,225.923265408176,0.6118323525448055,-4.112454560635859,2.151336357866529,1_pre_covid
2010-03-01,11252.1,5.3,2536551.95,217.353,225.42920432630353,1.5111054977175575,-3.289422902841299,2.2861714393279886,1_pre_covid
2010-04-01,11275.1,6.0,2532764.79,217.403,224.63346577857402,1.871160101192637,-3.1807751716826704,2.2067707525304403,1_pre_covid
2010-05-01,11303.2,6.4,2521687.94,217.29,223.09504742019956,2.031936884483798,-3.3840028813980516,2.003548929218568,1_pre_covid
2010-06-01,11330.6,6.2,2518416.41,217.199,222.26681817379486,2.2515815216900936,-2.8192048328176122,1.1215605940686268,1_pre_covid
2010-07-01,11361.7,6.1,2521104.8,217.605,221.8950333136766,2.191021847258079,-2.6921684362279596,1.3407784804821077,1_pre_covid
2010-08-01,11389.2,6.2,2520422.13,217.923,221.29931250658515,1.5261187377429097,-2.3896540974776004,1.1501775395112546,1_pre_covid
2010-09-01,11399.9,6.1,2522094.23,218.275,221.23827665154957,2.5668939952854686,-2.115201376340814,1.1183122472331775,1_pre_covid
2010-10-01,11428.9,5.9,2530106.0,219.035,221.37791038507643,2.7122970046103534,-1.2996970655713924,1.1666951489314625,1_pre_covid
2010-11-01,11458.0,5.8,2531232.26,219.59,220.91396927910628,3.1378832340180463,-0.7970400835166092,1.084544776600338,1_pre_covid
2010-12-01,11473.2,6.2,2646811.26,220.472,230.69512080326322,2.6473298560475422,3.5927210243139385,1.437793022217937,1_pre_covid
2011-01-01,11486.0,6.6,2657360.1,221.187,231.35644262580533,2.950666857880413,4.476183251822419,1.7007834915029774,1_pre_covid
2011-02-01,11482.8,6.9,2663779.92,221.898,231.97999790991744,2.5378172271533828,5.286733453799108,2.124898173333145,1_pre_covid
2011-03-01,11522.6,6.3,2672031.38,223.046,231.89483102771942,2.4039956985807187,5.341086351493796,2.619241510354109,1_pre_covid
2011-04-01,11508.9,6.3,2679950.15,224.093,232.85893091433587,2.073595799593786,5.811252611419948,3.0772344447868694,1_pre_covid
2011-05-01,11495.6,6.3,2683973.45,224.806,233.47832649013537,1.70217283601104,6.435590519578738,3.4589718808964998,1_pre_covid
2011-06-01,11522.3,6.5,2693088.33,224.806,233.7283641286896,1.691878629551824,6.935783903981152,3.5023181506360412,1_pre_covid
2011-07-01,11542.3,6.7,2717525.97,225.395,235.44059416234202,1.5895508594664376,7.7910751667285005,3.5798809769996165,1_pre_covid
2011-08-01,11535.3,6.7,2709151.87,226.106,234.85751302523562,1.2827942261089298,7.488021064154049,3.75499603070808,1_pre_covid
2011-09-01,11554.3,6.4,2720060.44,226.597,235.41542456055322,1.3543978455951233,7.849278890741518,3.812621692818685,1_pre_covid
2011-10-01,11575.1,6.3,2727962.54,226.75,235.67507321751,1.2792132226198571,7.820088960699678,3.5222681306640524,1_pre_covid
2011-11-01,11555.7,6.4,2746799.26,227.169,237.7008108552489,0.8526793506720365,8.5162868459965,3.451432214581729,1_pre_covid
2011-12-01,11560.9,7.2,2756224.85,227.223,238.40919392088853,0.7643900568280682,4.133788897361734,3.062066838419386,1_pre_covid
2012-01-01,11605.5,7.4,2770124.65,227.842,238.69067683425962,1.0403970050496314,4.243480211808692,3.0087663379855023,1_pre_covid
2012-02-01,11675.8,7.3,2777643.62,228.329,237.89749910070404,1.6807747239349302,4.274516041850784,2.8981784423473878,1_pre_covid
2012-03-01,11660.5,7.6,2791565.95,228.807,239.40362334376744,1.1967785048513369,4.473546639261405,2.5828752813320977,1_pre_covid
2012-04-01,11671.4,7.9,2802317.58,229.187,240.101237212331,1.4119507511578089,4.5660338122334165,2.2731633741348567,1_pre_covid
2012-05-01,11672.0,7.9,2817982.27,228.713,241.43096898560657,1.534500156581653,4.992926438970535,1.7379429374660749,1_pre_covid
2012-06-01,11659.9,7.9,2829850.8,228.524,242.69940565528006,1.194206017895727,5.078276433658591,1.653870448297634,1_pre_covid
2012-07-01,11684.4,7.0,2840049.63,228.59,243.063369107528,1.2311237794893515,4.508647253148412,1.4175114798464783,1_pre_covid
2012-08-01,11686.7,6.7,2857102.48,229.918,244.4747003003414,1.3124929564034105,5.461141239010714,1.6859349154821235,1_pre_covid
2012-09-01,11703.2,7.2,2865789.74,231.015,244.87232039100417,1.2886977142708922,5.357575804455306,1.9497168982819613,1_pre_covid
2012-10-01,11702.3,7.8,2881779.34,231.638,246.2575168983875,1.098910592565061,5.638523174148857,2.1556780595369363,1_pre_covid
2012-11-01,11753.4,8.7,2903346.97,231.249,247.02188047713855,1.7108439990653812,5.69927742007621,1.7960197033926262,1_pre_covid
2012-12-01,11758.3,10.9,2912905.02,231.221,247.7318166741791,1.7074795214905292,5.68459318549428,1.7595049796895523,1_pre_covid
2013-01-01,11810.6,4.9,2931381.51,231.679,248.19920325809017,1.767265520658312,5.8212853345787074,1.684061762098299,1_pre_covid
2013-02-01,11808.6,4.7,2953480.76,232.937,250.11269413817047,1.137395296253807,6.330442780128842,2.0181404902574807,1_pre_covid
2013-03-01,11823.8,4.8,2963147.07,232.282,250.6086934826367,1.4004545259637124,6.146411120969564,1.5187472411246183,1_pre_covid
2013-04-01,11826.4,5.1,2972772.62,231.797,251.36750152201856,1.328032626762865,6.082645350995519,1.138808047576867,1_pre_covid
2013-05-01,11860.1,5.3,2988661.4,231.893,251.99293429229095,1.6115490061686222,6.056785091128347,1.3903888279197085,1_pre_covid
2013-06-01,11857.7,5.4,3000936.05,232.445,253.07910050009696,1.6964124906731604,6.045733930566244,1.7157935271568725,1_pre_covid
2013-07-01,11872.3,5.2,3014697.69,232.9,253.92701414216285,1.6081270754167987,6.149472113274301,1.885471805415806,1_pre_covid
2013-08-01,11890.3,5.2,3030269.0,233.456,254.85219044094768,1.7421513344228812,6.06091385283456,1.538809488600279,1_pre_covid
2013-09-01,11926.1,5.3,3045861.58,233.544,255.39460343280703,1.9046072868958985,6.283497965206619,1.0947341081747997,1_pre_covid
2013-10-01,11964.6,4.7,3063380.14,233.669,256.0369874462999,2.2414397169787215,6.3016899829672735,0.8767991434911471,1_pre_covid
2013-11-01,12013.7,4.5,3075875.88,234.1,256.030688297527,2.214678305851936,5.942414454170453,1.2328701961954458,1_pre_covid
2013-12-01,12024.7,4.5,3090467.79,234.719,257.0099703111096,2.2656336375156405,6.095728105820619,1.5128383667573297,1_pre_covid
2014-01-01,11985.0,5.2,3113002.96,235.288,259.74159032123487,1.4766396288080186,6.195762966383733,1.557758795574915,1_pre_covid
2014-02-01,12039.4,5.3,3133891.8,235.547,260.30298852102266,1.954507731653199,6.108421034711609,1.1204746347724948,1_pre_covid
2014-03-01,12108.3,5.2,3150697.02,236.028,260.20969252496224,2.4061638390365125,6.329417527021364,1.6126949139408042,1_pre_covid
2014-04-01,12128.1,5.4,3173234.63,236.468,261.6431782389657,2.55107217750119,6.743267502241723,2.015125303606169,1_pre_covid
2014-05-01,12154.5,5.6,3192546.34,236.918,262.66373277386975,2.482272493486559,6.821948448225013,2.166947687079812,1_pre_covid
2014-06-01,12197.1,5.6,3209899.68,237.231,263.16908773396955,2.8622751461075957,6.963281673396549,2.0589816945944195,1_pre_covid
2014-07-01,12223.6,5.5,3231535.62,237.498,264.3685673614974,2.9589885700327834,7.192692345878315,1.9742378703305974,1_pre_covid
2014-08-01,12306.5,5.3,3248721.35,237.46,263.98418315524316,3.5003322035608964,7.2090085071655485,1.7150983482969062,1_pre_covid
2014-09-01,12310.2,5.5,3265101.43,237.477,265.23544946467155,3.2206672759745425,7.197958418057859,1.6840509711232077,1_pre_covid
2014-10-01,12389.1,5.4,3275438.44,237.43,264.38066041923946,3.547966501178479,6.922363216730898,1.6095417021513292,1_pre_covid
2014-11-01,12420.6,5.6,3283048.38,236.983,264.3228491377228,3.386966546526038,6.735398568813511,1.231524989320798,1_pre_covid
2014-12-01,12455.1,6.0,3309539.83,236.252,265.717644177887,3.5792992756576103,7.088636895322575,0.6531213919623191,1_pre_covid
2015-01-01,12484.7,6.3,3319930.47,234.747,265.91992358646985,4.169378389653744,6.647199268965687,-0.22993097820542818,1_pre_covid
2015-02-01,12514.1,6.4,3337844.15,235.342,266.72666432264407,3.9428875193115998,6.507957613597259,-0.08703146293520536,1_pre_covid
2015-03-01,12551.8,5.9,3360575.76,235.976,267.7365604933157,3.662776772957388,6.661343146222287,-0.022031284423873476,1_pre_covid
2015-04-01,12574.8,5.9,3382639.53,236.222,269.0014576772593,3.683182031810417,6.599099165888034,-0.10403098939391064,1_pre_covid
2015-05-01,12612.7,5.8,3399365.69,237.001,269.51926946649013,3.769797194454738,6.478194142672966,0.03503321824429584,1_pre_covid
2015-06-01,12621.6,5.7,3425250.89,237.657,271.3800857260569,3.480335489583597,6.708970107128076,0.1795718097550525,1_pre_covid
2015-07-01,12668.4,5.6,3444143.74,238.034,271.8688816267248,3.638862528224096,6.57916684204769,0.22568611104094582,1_pre_covid
2015-08-01,12699.7,5.6,3460249.09,238.033,272.46699449593297,3.1950595213911415,6.5111075161924825,0.2413037985344868,1_pre_covid
2015-09-01,12707.2,5.8,3487879.79,237.498,274.48059289221857,3.2249679127877684,6.8230149897670955,0.008842961634170088,1_pre_covid
2015-10-01,12715.9,5.8,3502824.92,237.733,275.46810843117674,2.637802584529947,6.942169244371454,0.12761656067050708,1_pre_covid
2015-11-01,12737.0,5.6,3510642.87,238.017,275.6255688152626,2.547380963882584,6.932413527210968,0.4363182169185187,1_pre_covid
2015-12-01,12777.3,5.8,3400230.33,237.761,266.1149327322674,2.5868921164823977,2.740275224305133,0.6387247515364791,1_pre_covid
2016-01-01,12798.7,6.1,3419760.04,237.652,267.1958902075992,2.515078456030184,3.006977733482463,1.2375025026943876,1_pre_covid
2016-02-01,12884.0,5.6,3438515.07,237.336,266.88257295870847,2.9558657833963276,3.0160461506268943,0.8472775790126619,1_pre_covid
2016-03-01,12836.1,5.9,3466202.59,238.08,270.0354928677713,2.265013782883729,3.1431170592029822,0.8916160965521946,1_pre_covid
2016-04-01,12870.2,5.5,3486177.34,238.992,270.8720408385262,2.3491427299042744,3.0608585124646703,1.1726257503534843,1_pre_covid
2016-05-01,12891.2,5.3,3503680.59,239.557,271.7885526560754,2.2080918439350894,3.0686577883299204,1.0784764621246223,1_pre_covid
2016-06-01,12948.6,4.9,3524010.3,240.222,272.1537695194847,2.590796729416245,2.8832752160820485,1.0792865347959424,1_pre_covid
2016-07-01,12972.2,5.1,3542768.11,240.101,273.10464763108797,2.398092892551551,2.863538151865863,0.8683633430518256,1_pre_covid
2016-08-01,12986.1,5.1,3565415.37,240.545,274.5562847968212,2.255171382001153,3.0392690602513817,1.0553158595656864,1_pre_covid
2016-09-01,13020.9,5.1,3586384.17,241.176,275.4328940395825,2.4686791740115677,2.8241907958645562,1.5486446201652182,1_pre_covid
2016-10-01,13014.9,5.3,3601496.03,241.741,276.72099132532713,2.3513868463891585,2.816900994298055,1.685924966243646,1_pre_covid
2016-11-01,13036.8,5.4,3618234.46,242.026,277.54007578546884,2.353772473894944,3.064726148006036,1.6843334719788938,1_pre_covid
2016-12-01,13128.5,5.0,3636437.75,242.637,276.98806032677,2.7486245137861687,6.946806453549859,2.0507989115119862,1_pre_covid
